instrument_token,primary_interval_min,alttf_multiplier,effective_alttf_min,total_trades,winning_trades,losing_trades,win_rate_pct,total_pnl,gross_profit,gross_loss,average_pnl_per_trade,average_profit_per_winning_trade,average_loss_per_losing_trade,profit_factor,max_drawdown_absolute,max_drawdown_percentage,sharpe_ratio_per_trade,info
256265,1,60,60,1263,791.0,463.0,62.62866191607285,19800.399999999972,24332.199999999975,4531.800000000005,15.677276326207421,30.761314791403255,9.787904967602602,5.369213116201057,252.69999999998254,0.2209228929271301,0.35473495942548117,
256777,1,60,60,1100,661.0,433.0,60.09090909090909,28409.100000000224,40883.100000000115,12473.99999999989,25.826454545454748,61.85037821482619,28.808314087759562,3.2774651274651654,1344.1999999999825,1.1790379990211068,0.1908666266738819,
257033,1,60,60,801,549.0,247.0,68.53932584269663,3735.750000000014,5262.250000000011,1526.4999999999968,4.663857677902639,9.585154826958126,6.180161943319825,3.447264985260414,92.69999999999709,0.09060489764920568,0.3583303488596479,
257289,1,60,60,688,481.0,202.0,69.91279069767442,7260.749999999988,8957.399999999989,1696.6500000000005,10.553415697674401,18.6224532224532,8.399257425742578,5.279462470161781,180.60000000000582,0.17079944258477042,0.42751076617959255,
257545,1,60,60,680,499.0,179.0,73.38235294117646,7230.5000000000355,8727.30000000001,1496.7999999999747,10.63308823529417,17.489579158316655,8.362011173184216,5.830638695884659,126.0,0.12115361316612852,0.5433585868407171,
257801,1,60,60,884,626.0,255.0,70.81447963800905,22487.10000000007,26924.600000000057,4437.499999999985,25.43789592760189,43.010543130990506,17.40196078431367,6.067515492957779,432.1999999999971,0.3692830338284422,0.4690305325017232,
258825,1,60,60,1019,656.0,359.0,64.37684003925416,18052.2,22511.000000000015,4458.800000000016,17.71560353287537,34.31554878048783,12.42005571030645,5.048667802996308,855.6000000000058,0.723179352029277,0.37245866757954815,
259081,1,60,60,1145,615.0,283.0,53.7117903930131,205.34999999999926,247.14999999999966,41.80000000000041,0.17934497816593822,0.4018699186991864,0.1477031802120156,5.912679425837255,2.6000000000058208,0.0025983889988265485,0.36732082704231855,
259337,1,60,60,1018,655.0,361.0,64.3418467583497,25481.599999999962,32308.49999999993,6826.899999999967,25.03104125736735,49.32595419847318,18.91108033240988,4.732528673336374,1261.7999999999884,1.0023012098628639,0.36270754836855257,
259593,1,60,60,1309,672.0,344.0,51.33689839572193,162.7500000000004,210.50000000000017,47.74999999999977,0.12433155080213934,0.3132440476190479,0.13880813953488305,4.40837696335081,2.8500000000058208,0.002849706480238356,0.30632020695904333,
259849,1,60,60,656,465.0,190.0,70.88414634146342,34429.9,44590.800000000025,10160.900000000023,52.484603658536585,95.89419354838715,53.4784210526317,4.388469525337315,1901.800000000003,1.8829647040652382,0.3374121900806563,
260105,1,60,60,926,653.0,271.0,70.51835853131749,54746.50000000013,63591.40000000007,8844.899999999936,59.12149028077768,97.38346094946411,32.63800738007357,7.1896120928445235,831.3999999999942,0.5823458296501817,0.5040422401259136,
260617,1,60,60,727,526.0,198.0,72.35213204951857,16032.100000000019,20220.299999999974,4188.199999999955,22.05240715268228,38.441634980988546,21.152525252525027,4.827921302707653,305.5,0.27455343501845925,0.4545181059607691,
260873,1,60,60,966,596.0,364.0,61.697722567287784,7902.149999999957,11025.199999999975,3123.0500000000184,8.180279503105545,18.498657718120764,8.579807692307742,3.5302668865371705,289.1999999999971,0.2762508782093719,0.3164332597883004,
261129,1,60,60,631,450.0,161.0,71.31537242472267,1061.1500000000003,1229.35,168.1999999999996,1.681695721077655,2.731888888888889,1.0447204968944075,7.308858501783608,16.94999999999709,0.01686621706671817,0.5615600132317778,
261385,1,60,60,1078,686.0,386.0,63.63636363636363,6263.400000000016,8211.80000000001,1948.3999999999933,5.810204081632668,11.970553935860073,5.047668393782366,4.214637651406302,154.35000000000582,0.1490929814732587,0.33969350489666295,
261641,1,60,60,778,555.0,221.0,71.33676092544987,31927.900000000027,39862.50000000003,7934.600000000002,41.038431876606715,71.82432432432438,35.90316742081449,5.023882741411038,1447.800000000003,1.2560435928156202,0.3902232284923117,
261897,1,60,60,583,456.0,127.0,78.21612349914237,47930.30000000002,54262.59999999999,6332.299999999974,82.21320754716984,118.99692982456139,49.86062992125964,8.569177076259844,493.70000000001164,0.33262814639142696,0.6454882848757056,
262153,1,60,60,991,634.0,356.0,63.97578203834511,15979.799999999934,23245.19999999998,7265.400000000045,16.124924318869763,36.66435331230281,20.40842696629226,3.1994384342224564,1298.5999999999913,1.169768694590015,0.3041471064982092,
262409,1,60,60,579,451.0,127.0,77.89291882556131,14908.199999999988,17763.29999999998,2855.099999999995,25.74818652849739,39.38647450110861,22.481102362204684,6.2216034464642265,283.6999999999971,0.2832725417345197,0.5672525613688163,
262665,1,60,60,746,539.0,204.0,72.2520107238606,7936.4000000000215,11174.500000000007,3238.0999999999844,10.638605898123354,20.731910946196674,15.873039215686198,3.4509434544949387,535.9000000000087,0.4964859651690949,0.3389027572717745,
262921,1,60,60,646,461.0,185.0,71.36222910216719,6546.7500000000055,8444.350000000004,1897.599999999998,10.134287925696603,18.317462039045562,10.257297297297287,4.4500158094435145,357.1999999999971,0.3358375418797943,0.43028409553853375,
263177,1,60,60,931,638.0,292.0,68.52846401718583,25722.000000000015,31759.899999999994,6037.89999999998,27.62835660580023,49.78040752351096,20.677739726027326,5.260090428791484,430.40000000000873,0.38317109693410467,0.43207953567621077,
