instrument_token,primary_interval_min,alttf_multiplier,effective_alttf_min,total_trades,winning_trades,losing_trades,win_rate_pct,total_pnl,gross_profit,gross_loss,average_pnl_per_trade,average_profit_per_winning_trade,average_loss_per_losing_trade,profit_factor,max_drawdown_absolute,max_drawdown_percentage,sharpe_ratio_per_trade
256265,1,15,15,2225,1826,395,82.06741573033707,35954.59999999999,41022.899999999994,5068.300000000007,16.15937078651685,22.465991237677983,12.831139240506346,8.094015744924322,306.8000000000029,0.25602189704882433,0.5989868468637708
256265,1,30,30,1618,1191,421,73.60939431396785,26404.69999999994,31349.29999999999,4944.600000000051,16.3193448702101,26.321830394626353,11.744893111639076,6.340108401083943,262.8999999999942,0.2618168636351356,0.43409805065398466
256265,1,45,45,1393,922,463,66.18808327351041,20253.899999999936,24669.59999999997,4415.700000000037,14.53977027997124,26.756616052060703,9.537149028077835,5.586792581017678,291.3999999999942,0.28790511975133276,0.41767458601954177
256265,1,60,60,1263,791,463,62.62866191607285,19800.399999999972,24332.199999999975,4531.800000000005,15.677276326207421,30.761314791403255,9.787904967602602,5.369213116201057,252.69999999998254,0.2209228929271301,0.35473495942548117
256777,1,15,15,1922,1554,367,80.85327783558793,73401.40000000007,89209.40000000011,15808.000000000047,38.19011446409993,57.40630630630638,43.07356948228896,5.643307186234808,1003.5,0.7605043959200279,0.463960620708913
256777,1,30,30,1198,868,330,72.45409015025042,44473.200000000026,57262.39999999999,12789.199999999957,37.122871452420725,65.97050691244237,38.75515151515138,4.477402808619787,1368.9999999999854,1.1380829661650886,0.41351486096648965
256777,1,45,45,980,623,356,63.57142857142857,30411.400000000038,45446.400000000045,15035.000000000007,31.032040816326568,72.947672552167,42.23314606741575,3.0227070169604273,966.0,0.8463802350063215,0.27488925097547384
256777,1,60,60,1100,661,433,60.09090909090909,28409.100000000224,40883.100000000115,12473.99999999989,25.826454545454748,61.85037821482619,28.808314087759562,3.2774651274651654,1344.1999999999825,1.1790379990211068,0.1908666266738819
